"","algorithm","iomode","image","nthreads","imsize","user","real","sys"
"1","seq","withIO","full",1,16,0,0.001,0
"2","seq","withIO","full",1,16,0,0.001,0
"3","seq","withIO","full",1,16,0,0.001,0
"4","seq","withIO","full",1,16,0,0.001,0
"5","seq","withIO","full",1,16,0,0.001,0
"6","seq","withIO","full",1,16,0,0.001,0
"7","seq","withIO","full",1,16,0,0.001,0
"8","seq","withIO","full",1,16,0,0.001,0
"9","seq","withIO","full",1,16,0,0.001,0
"10","seq","withIO","full",1,16,0,0.001,0
"11","seq","withIO","full",1,16,0,0.001,0
"12","seq","withIO","full",1,16,0,0.001,0
"13","seq","withIO","full",1,16,0,0.001,0
"14","seq","withIO","full",1,16,0,0.001,0
"15","seq","withIO","full",1,16,0,0.001,0
"16","seq","withIO","full",1,16,0,0.001,0
"17","seq","withIO","full",1,16,0,0.001,0
"18","seq","withIO","full",1,16,0,0.001,0
"19","seq","withIO","full",1,16,0,0.001,0
"20","seq","withIO","full",1,16,0,0.001,0
"21","seq","withIO","full",1,32,0,0.001,0
"22","seq","withIO","full",1,32,0,0.001,0
"23","seq","withIO","full",1,32,0,0.001,0
"24","seq","withIO","full",1,32,0,0.001,0
"25","seq","withIO","full",1,32,0,0.001,0
"26","seq","withIO","full",1,32,0,0.001,0
"27","seq","withIO","full",1,32,0,0.001,0
"28","seq","withIO","full",1,32,0,0.001,0
"29","seq","withIO","full",1,32,0,0.001,0
"30","seq","withIO","full",1,32,0,0.001,0
"31","seq","withIO","full",1,32,0,0.001,0
"32","seq","withIO","full",1,32,0,0.001,0
"33","seq","withIO","full",1,32,0,0.001,0
"34","seq","withIO","full",1,32,0,0.001,0
"35","seq","withIO","full",1,32,0,0.001,0
"36","seq","withIO","full",1,32,0,0.001,0
"37","seq","withIO","full",1,32,0,0.001,0
"38","seq","withIO","full",1,32,0,0.001,0
"39","seq","withIO","full",1,32,0,0.001,0
"40","seq","withIO","full",1,32,0,0.001,0
"41","seq","withIO","full",1,64,0,0.002,0
"42","seq","withIO","full",1,64,0,0.002,0
"43","seq","withIO","full",1,64,0,0.002,0
"44","seq","withIO","full",1,64,0,0.002,0
"45","seq","withIO","full",1,64,0,0.002,0
"46","seq","withIO","full",1,64,0,0.002,0
"47","seq","withIO","full",1,64,0,0.002,0
"48","seq","withIO","full",1,64,0,0.002,0
"49","seq","withIO","full",1,64,0,0.002,0
"50","seq","withIO","full",1,64,0,0.002,0
"51","seq","withIO","full",1,64,0,0.002,0
"52","seq","withIO","full",1,64,0,0.002,0
"53","seq","withIO","full",1,64,0,0.002,0
"54","seq","withIO","full",1,64,0,0.002,0
"55","seq","withIO","full",1,64,0,0.002,0
"56","seq","withIO","full",1,64,0,0.002,0
"57","seq","withIO","full",1,64,0,0.002,0
"58","seq","withIO","full",1,64,0,0.002,0
"59","seq","withIO","full",1,64,0,0.002,0
"60","seq","withIO","full",1,64,0,0.002,0
"61","seq","withIO","full",1,128,0.004,0.006,0
"62","seq","withIO","full",1,128,0.004,0.006,0
"63","seq","withIO","full",1,128,0.004,0.006,0
"64","seq","withIO","full",1,128,0.004,0.006,0
"65","seq","withIO","full",1,128,0.004,0.006,0
"66","seq","withIO","full",1,128,0.004,0.006,0
"67","seq","withIO","full",1,128,0.004,0.006,0
"68","seq","withIO","full",1,128,0.004,0.006,0
"69","seq","withIO","full",1,128,0.004,0.007,0
"70","seq","withIO","full",1,128,0.004,0.006,0
"71","seq","withIO","full",1,128,0.004,0.006,0
"72","seq","withIO","full",1,128,0.004,0.006,0
"73","seq","withIO","full",1,128,0.004,0.006,0
"74","seq","withIO","full",1,128,0.004,0.005,0
"75","seq","withIO","full",1,128,0.004,0.006,0
"76","seq","withIO","full",1,128,0.004,0.006,0
"77","seq","withIO","full",1,128,0.004,0.006,0
"78","seq","withIO","full",1,128,0.004,0.005,0
"79","seq","withIO","full",1,128,0.004,0.006,0
"80","seq","withIO","full",1,128,0.004,0.005,0
"81","seq","withIO","full",1,256,0.016,0.02,0
"82","seq","withIO","full",1,256,0.016,0.019,0
"83","seq","withIO","full",1,256,0.02,0.021,0
"84","seq","withIO","full",1,256,0.016,0.02,0
"85","seq","withIO","full",1,256,0.016,0.019,0
"86","seq","withIO","full",1,256,0.016,0.019,0
"87","seq","withIO","full",1,256,0.02,0.021,0
"88","seq","withIO","full",1,256,0.016,0.02,0
"89","seq","withIO","full",1,256,0.02,0.021,0
"90","seq","withIO","full",1,256,0.012,0.019,0.004
"91","seq","withIO","full",1,256,0.02,0.02,0
"92","seq","withIO","full",1,256,0.016,0.019,0
"93","seq","withIO","full",1,256,0.016,0.02,0
"94","seq","withIO","full",1,256,0.016,0.019,0
"95","seq","withIO","full",1,256,0.016,0.019,0
"96","seq","withIO","full",1,256,0.016,0.02,0
"97","seq","withIO","full",1,256,0.016,0.02,0
"98","seq","withIO","full",1,256,0.016,0.019,0
"99","seq","withIO","full",1,256,0.016,0.019,0
"100","seq","withIO","full",1,256,0.016,0.022,0.004
"101","seq","withIO","full",1,512,0.072,0.075,0
"102","seq","withIO","full",1,512,0.064,0.076,0.008
"103","seq","withIO","full",1,512,0.072,0.079,0.004
"104","seq","withIO","full",1,512,0.072,0.08,0.004
"105","seq","withIO","full",1,512,0.072,0.078,0.004
"106","seq","withIO","full",1,512,0.072,0.076,0
"107","seq","withIO","full",1,512,0.068,0.077,0.008
"108","seq","withIO","full",1,512,0.068,0.075,0.004
"109","seq","withIO","full",1,512,0.068,0.075,0.004
"110","seq","withIO","full",1,512,0.06,0.074,0.012
