"","algorithm","iomode","image","nthreads","imsize","media","desv_pad"
"1","omp","withoutIO","elephant",1,16,0.001,0
"2","omp","withoutIO","elephant",1,32,0.00205,0.000223606797749979
"3","omp","withoutIO","elephant",1,64,0.00705,0.000223606797749979
"4","omp","withoutIO","elephant",1,128,0.02525,0.000966545666958261
"5","omp","withoutIO","elephant",1,256,0.0959,0.000967906041546988
"6","omp","withoutIO","elephant",1,512,0.3769,0.00202354561157026
"7","omp","withoutIO","elephant",1,1024,1.52395,0.0272135318507076
"8","omp","withoutIO","elephant",1,2048,6.04605,0.0308740650827979
"9","omp","withoutIO","elephant",1,4096,24.1148,0.121383515745495
"10","omp","withoutIO","elephant",1,8192,96.40775,0.392114628111408
"11","omp","withoutIO","elephant",2,16,0.001,0
"12","omp","withoutIO","elephant",2,32,0.002,0
"13","omp","withoutIO","elephant",2,64,0.004,0
"14","omp","withoutIO","elephant",2,128,0.01315,0.000366347548532523
"15","omp","withoutIO","elephant",2,256,0.04875,0.00106992375527664
"16","omp","withoutIO","elephant",2,512,0.19125,0.00390512483795333
"17","omp","withoutIO","elephant",2,1024,0.7564,0.00513399403358069
"18","omp","withoutIO","elephant",2,2048,3.0178,0.0233341854480999
"19","omp","withoutIO","elephant",2,4096,12.04065,0.0626849054272322
"20","omp","withoutIO","elephant",2,8192,48.27075,0.214884516108439
"21","omp","withoutIO","elephant",4,16,0.001,0
"22","omp","withoutIO","elephant",4,32,0.00105,0.000223606797749979
"23","omp","withoutIO","elephant",4,64,0.003,0
"24","omp","withoutIO","elephant",4,128,0.00725,0.000444261658319319
"25","omp","withoutIO","elephant",4,256,0.0251,0.000307793505625545
"26","omp","withoutIO","elephant",4,512,0.09665,0.000745159820370595
"27","omp","withoutIO","elephant",4,1024,0.3778,0.00214230569345519
"28","omp","withoutIO","elephant",4,2048,1.51265,0.0064991902329606
"29","omp","withoutIO","elephant",4,4096,6.0349,0.0246061609743319
"30","omp","withoutIO","elephant",4,8192,24.1096,0.0504437153771674
"31","omp","withoutIO","elephant",8,16,0.001,0
"32","omp","withoutIO","elephant",8,32,0.00105,0.000223606797749979
"33","omp","withoutIO","elephant",8,64,0.002,0
"34","omp","withoutIO","elephant",8,128,0.0041,0.000307793505625546
"35","omp","withoutIO","elephant",8,256,0.01385,0.000489360484929593
"36","omp","withoutIO","elephant",8,512,0.05625,0.00291773163514687
"37","omp","withoutIO","elephant",8,1024,0.2268,0.00661417934599997
"38","omp","withoutIO","elephant",8,2048,0.892,0.00465663081275678
"39","omp","withoutIO","elephant",8,4096,3.5549,0.00772487438153695
"40","omp","withoutIO","elephant",8,8192,14.18425,0.0103307155710788
"41","omp","withoutIO","elephant",16,16,0.00105,0.000223606797749979
"42","omp","withoutIO","elephant",16,32,0.00125,0.000444261658319319
"43","omp","withoutIO","elephant",16,64,0.0022,0.000410391340834062
"44","omp","withoutIO","elephant",16,128,0.00545,0.00068633274115326
"45","omp","withoutIO","elephant",16,256,0.01645,0.000825577947481896
"46","omp","withoutIO","elephant",16,512,0.05895,0.00213923252347043
"47","omp","withoutIO","elephant",16,1024,0.22535,0.00184319516629483
"48","omp","withoutIO","elephant",16,2048,0.8961,0.00282656570491658
"49","omp","withoutIO","elephant",16,4096,3.5784,0.00792995652739128
"50","omp","withoutIO","elephant",16,8192,14.30215,0.0205254014641165
"51","omp","withoutIO","elephant",32,16,0.00165,0.000489360484929593
